lat_avg,lng_avg,count_qualified,percent_covered,percent_qualified,yearly_sunlight_kwh_n,yearly_sunlight_kwh_e,yearly_sunlight_kwh_s,yearly_sunlight_kwh_w,yearly_sunlight_kwh_kw_threshold_avg,yearly_sunlight_kwh_total,carbon_offset_metric_tons,kw_total
39.35355758666992,-74.45464324951173,268,93.41637010676156,51.04761904761905,371312.6219665528,275821.8153015136,1015241.2879699708,478332.47398071294,1045.5,4324910.371545408,2735.5675678214125,3502.5
39.099586486816406,-84.45018005371094,1307,99.76811594202897,75.94421847762929,1055989.440045166,3188827.43530884,4574737.9549072245,3865354.276580812,987.7,14065812.029699702,11644.438183674543,12453.0
38.13483428955078,-75.4886474609375,16,12.865497076023392,72.72727272727273,25701.203466796876,31296.165045166013,56644.564453125,30300.3016418457,1052.3,214455.37291259764,136.27794670903162,173.5
41.17079925537109,-73.2510223388672,616,99.67880085653104,66.16541353383458,183603.6113586426,712982.69630127,1817113.9016723623,1524484.8305114745,1006.2098366477276,4866498.854101562,2107.146808874149,4228.5
40.84284973144531,-96.61681365966798,1605,100.0,98.22521419828642,763851.2582031254,4321248.71182861,7962849.2772766,6969662.453295905,1088.0,23501776.696795706,11908.050273775476,18299.0
34.88618087768555,-120.42507934570312,2002,99.61868446139181,95.78947368421052,3254266.319525147,6738332.479351811,12962314.865185527,11252988.854132071,1323.45,45063629.49661863,12285.743414354904,28652.75
30.21205711364746,-95.15155792236328,2724,96.69882100750269,60.38572378630016,2810089.1539917,3737574.3171691913,10406411.58966064,4774460.16109009,1063.3189050363317,29543825.424310356,15231.117065875866,24000.25
36.01691055297852,-115.14556884765624,1294,99.92630803242449,95.42772861356931,23014.215881347656,4451232.178991698,9390504.326586911,6019717.746447755,1390.6,22140750.70913085,9534.537340044144,13598.75
40.55973815917969,-105.06876373291016,964,99.31428571428573,55.466052934407365,192352.2834655762,2338424.268542483,5206933.189056396,1456021.1416076662,1202.75,20525508.916918933,12497.648849753694,15589.75
33.581886291503906,-84.4466781616211,985,99.59908361970216,56.64174813110984,475578.3961608887,1944917.1976928709,4086086.123889156,2725781.2222900386,1099.0216772744277,10433471.62468872,6203.59698175572,8382.5
28.043920516967773,-82.52442169189453,2341,99.96059889676911,92.27433977138352,5432761.116217034,7066393.8003051765,9969443.382971186,8296343.3129455475,1161.95,48644078.423248164,26001.258109296803,35455.25
34.442718505859375,-119.28360748291016,1952,96.3902787705504,72.37671486837226,2468349.408813475,5970742.372363284,9730444.91613159,5988061.947564704,1322.6,32204957.64978641,8780.070553019472,20914.75
38.440933227539055,-78.92991638183594,973,98.51116625310173,81.696053736356,1792567.3651000974,5743478.948870849,6522318.821423343,4797186.510961913,1045.5044574425178,28520173.522265643,20577.17749301872,23056.0
26.560935974121094,-81.63928985595702,809,100.0,98.53836784409256,779235.8960815431,3409536.1300781234,4932995.436315916,4194542.149682616,1209.4786187845314,13568551.396710206,7252.669152562432,9790.0
